bucket	range_start	range_end	ARPE19 #2 poly(A)	ARPE19 #1	ARPE19 #2	CRO-AP5	NHDF	IVT RN7SK	IVT EBER2
1	0.5	0.50390625	0.000912309	0.004298115	0.004218489	0.001116549	0.003128646	0.001214712	0.000797361
2	0.50390625	0.5078125	0.000921775	0.004308996	0.004149378	0.001124004	0.003281421	0.001134495	0.000807621
3	0.5078125	0.51171875	0.000933934	0.004351615	0.004117066	0.001121482	0.00316383	0.001277739	0.00077684
4	0.51171875	0.515625	0.000936998	0.00419837	0.004213104	0.001133651	0.003138831	0.001297794	0.000834004
5	0.515625	0.51953125	0.000962461	0.004309903	0.004178997	0.00114264	0.003109202	0.001220442	0.000798826
6	0.51953125	0.5234375	0.000963041	0.00425459	0.004117963	0.001144723	0.003110128	0.001194658	0.000768046
7	0.5234375	0.52734375	0.000975684	0.004331666	0.004214001	0.001143956	0.003232348	0.001326442	0.000829607
8	0.52734375	0.53125	0.000989036	0.004338013	0.004110783	0.001145381	0.003122164	0.001294929	0.000847196
9	0.53125	0.53515625	0.00099597	0.004258217	0.003986921	0.001139352	0.00308235	0.001082927	0.00083547
10	0.53515625	0.5390625	0.001008403	0.004299022	0.004205924	0.001164456	0.003195311	0.001128765	0.000850127
11	0.5390625	0.54296875	0.001010145	0.004290861	0.004153865	0.001193726	0.003221237	0.001352226	0.000813484
12	0.54296875	0.546875	0.001023562	0.004278166	0.004146685	0.001190109	0.003144386	0.001306388	0.000822278
13	0.546875	0.55078125	0.00103177	0.004295395	0.004086549	0.001188245	0.00316383	0.001312118	0.000839867
14	0.55078125	0.5546875	0.001041429	0.004278166	0.004173611	0.001198221	0.003244384	0.001329307	0.000851593
15	0.5546875	0.55859375	0.001051234	0.004266378	0.004046159	0.001209732	0.003098091	0.001326442	0.000823744
16	0.55859375	0.5625	0.001067634	0.004166633	0.004058725	0.001213021	0.003114757	0.001406659	0.000867716
17	0.5625	0.56640625	0.001087308	0.004234641	0.004123349	0.001206443	0.003181423	0.001346497	0.000897031
18	0.56640625	0.5703125	0.001077568	0.004161192	0.004119759	0.001195809	0.003104572	0.001335037	0.000807621
19	0.5703125	0.57421875	0.001093694	0.004192022	0.004170919	0.001224641	0.003345308	0.001426713	0.000848661
20	0.57421875	0.578125	0.001099257	0.004222853	0.00402013	0.001238783	0.003271236	0.001398064	0.000894099
21	0.578125	0.58203125	0.001109384	0.004115854	0.004048852	0.001238783	0.00324994	0.001320713	0.000882373
22	0.58203125	0.5859375	0.001109416	0.004179328	0.004019233	0.001238345	0.003268458	0.001420984	0.000902894
23	0.5859375	0.58984375	0.001123897	0.004102252	0.004010257	0.001260379	0.00324994	0.001340767	0.00086625
24	0.58984375	0.59375	0.001120124	0.004190209	0.004046159	0.001252158	0.003386974	0.001552768	0.000873579
25	0.59375	0.59765625	0.001147151	0.004143963	0.003981536	0.001281209	0.003304568	0.001400929	0.00097618
26	0.59765625	0.6015625	0.001156601	0.003997972	0.004126939	0.001286909	0.003398085	0.001329307	0.000971783
27	0.6015625	0.60546875	0.001145635	0.004153031	0.004088344	0.001279674	0.003320309	0.001349361	0.000951263
28	0.60546875	0.609375	0.001167276	0.0043362	0.004179895	0.001291842	0.003411974	0.001337902	0.000932208
29	0.609375	0.61328125	0.001162229	0.004237361	0.004082959	0.001322099	0.003359197	0.001461092	0.001050933
30	0.61328125	0.6171875	0.001176645	0.004233734	0.004198743	0.001339859	0.003404567	0.001406659	0.000973249
31	0.6171875	0.62109375	0.001194094	0.004140336	0.004046159	0.001319359	0.003403641	0.001549903	0.001086111
32	0.62109375	0.625	0.001185853	0.004197463	0.003994999	0.001329335	0.003383271	0.001386605	0.000942468
33	0.625	0.62890625	0.001199609	0.004030617	0.004003077	0.001320455	0.003355493	0.001484011	0.000957126
34	0.62890625	0.6328125	0.001205172	0.003986185	0.003933965	0.001316618	0.003337901	0.001592877	0.001056796
35	0.6328125	0.63671875	0.001209929	0.004000693	0.003893576	0.001367814	0.003240681	0.001498336	0.001005495
