bucket	range_start	range_end	ARPE19 #2 poly(A)	ARPE19 #1	ARPE19 #2	CRO-AP5	NHDF	IVT RN7SK	IVT EBER2
1	0.5	0.50390625	0.015803235	0.005958357	0.005770798	0.007657889	0.006344833	0.013228649	0.013230636
2	0.50390625	0.5078125	0.015992986	0.006386218	0.006534908	0.008225504	0.006811037	0.012206342	0.013323809
3	0.5078125	0.51171875	0.015639612	0.006802892	0.007075544	0.008268978	0.007294856	0.012799281	0.012951115
4	0.51171875	0.515625	0.015323361	0.007268971	0.007719323	0.008572471	0.007816252	0.013944264	0.013323809
5	0.515625	0.51953125	0.015076126	0.007709883	0.008062271	0.008788198	0.008396365	0.013126418	0.014084726
6	0.51953125	0.5234375	0.014776813	0.008533911	0.008943276	0.009099894	0.009036368	0.013126418	0.013541214
7	0.5234375	0.52734375	0.0145503	0.009352346	0.009746924	0.009446862	0.00993472	0.012983295	0.014488477
8	0.52734375	0.53125	0.014277837	0.01015307	0.010743964	0.010135875	0.010649879	0.013105973	0.01388285
9	0.53125	0.53515625	0.014111332	0.011138361	0.0118175	0.010426245	0.011615167	0.01396471	0.014814585
10	0.53515625	0.5390625	0.013860312	0.012120856	0.01260138	0.010905273	0.012672052	0.012737942	0.014535064
11	0.5390625	0.54296875	0.013611815	0.012807857	0.013672339	0.01144336	0.01379235	0.013249096	0.015016461
12	0.54296875	0.546875	0.013235376	0.013619767	0.014540451	0.011686155	0.014329013	0.013085526	0.015513386
13	0.546875	0.55078125	0.013343317	0.014099829	0.015017482	0.012265254	0.015086447	0.013760248	0.015715262
14	0.55078125	0.5546875	0.012986159	0.014515571	0.015191105	0.012516251	0.015688872	0.013474003	0.015342568
15	0.5546875	0.55859375	0.012813166	0.014429812	0.01505788	0.012899309	0.016204396	0.01253348	0.015218336
16	0.55859375	0.5625	0.012522683	0.0143338	0.015060458	0.013028909	0.015919037	0.013228649	0.015777377
17	0.5625	0.56640625	0.012263014	0.014454981	0.015080228	0.013099452	0.015740542	0.013187757	0.015715262
18	0.56640625	0.5703125	0.011961718	0.015664922	0.015466151	0.013432475	0.015347146	0.012758388	0.015901608
19	0.5703125	0.57421875	0.011744937	0.050847378	0.0408984	0.018437663	0.046727236	0.013903372	0.015109634
20	0.57421875	0.578125	0.011584017	0.015043173	0.015034673	0.013729407	0.0152532	0.012737942	0.014830113
21	0.578125	0.58203125	0.011386517	0.014478285	0.014453639	0.014093599	0.014974888	0.012901511	0.015622089
22	0.58203125	0.5859375	0.011084502	0.014473625	0.014146792	0.013853265	0.014024865	0.012901511	0.014379775
23	0.5859375	0.58984375	0.011180008	0.014692681	0.014280017	0.014169883	0.014122333	0.013801141	0.014643767
24	0.58984375	0.59375	0.010888984	0.014454049	0.014053104	0.013986146	0.013918002	0.011490728	0.014240015
25	0.59375	0.59765625	0.01080393	0.014570569	0.01429205	0.014246986	0.014150517	0.012165451	0.013510156
26	0.59765625	0.6015625	0.01055309	0.014596669	0.013940508	0.014370845	0.01417048	0.01253348	0.014224486
27	0.6015625	0.60546875	0.010510203	0.014396255	0.014353936	0.014480758	0.01416226	0.012615265	0.013774147
28	0.60546875	0.609375	0.010397036	0.014819455	0.014555062	0.014277336	0.014373637	0.012901511	0.012966644
29	0.609375	0.61328125	0.010361717	0.014877249	0.014601477	0.014367564	0.014657822	0.012594819	0.013556743
30	0.61328125	0.6171875	0.010207825	0.015090713	0.014912621	0.014369205	0.015223842	0.012165451	0.013168519
31	0.6171875	0.62109375	0.010118626	0.015320024	0.015037252	0.014378227	0.015826266	0.011347605	0.011801975
32	0.62109375	0.625	0.010144755	0.015669584	0.01580566	0.014408576	0.0165426	0.013187757	0.012702652
33	0.625	0.62890625	0.010046906	0.015649077	0.016230261	0.014166602	0.017096877	0.011715635	0.011770917
34	0.62890625	0.6328125	0.010131781	0.01606575	0.016776055	0.014438926	0.017998753	0.011838312	0.012329958
35	0.6328125	0.63671875	0.010088353	0.016191592	0.016719326	0.013963179	0.01821835	0.011470282	0.01201938
36	0.63671875	0.640625	0.010016632	0.016269894	0.016917875	0.013939392	0.018086826	0.011470282	0.010916827
37	0.640625	0.64453125	0.010200617	0.016507594	0.016977182	0.013790106	0.017727485	0.010754667	0.010792596
38	0.64453125	0.6484375	0.010007082	0.01644048	0.016996091	0.013322561	0.016745757	0.010918236	0.011242935
39	0.6484375	0.65234375	0.009880401	0.017160105	0.017670812	0.013452161	0.01622436	0.010591098	0.010792596
40	0.65234375	0.65625	0.009793184	0.018685116	0.019445715	0.013277447	0.016739884	0.010754667	0.011242935
41	0.65625	0.66015625	0.009570275	0.021344565	0.022437694	0.013508759	0.0184356	0.010182175	0.011010001
42	0.66015625	0.6640625	0.00928736	0.024859734	0.026262544	0.014173164	0.021497043	0.010202621	0.011553513
43	0.6640625	0.66796875	0.009057244	0.028462525	0.029967064	0.014877762	0.024693532	0.009895929	0.011646686
44	0.66796875	0.671875	0.008823344	0.028782256	0.030901358	0.014834289	0.025384031	0.009855037	0.011615628
45	0.671875	0.67578125	0.008682067	0.026548805	0.028951973	0.0142921	0.0239772	0.010161729	0.010963414
46	0.67578125	0.6796875	0.008225258	0.024251966	0.026428431	0.013672809	0.021540493	0.009957268	0.010668364
47	0.6796875	0.68359375	0.008095513	0.02139863	0.023824094	0.013269244	0.019976303	0.009302991	0.01088577
48	0.68359375	0.6875	0.007810616	0.018960103	0.020546757	0.012388292	0.017923597	0.00963013	0.009581341
49	0.6875	0.69140625	0.007664294	0.01639387	0.017730977	0.011791147	0.015360063	0.009323438	0.009146531
50	0.69140625	0.6953125	0.007400299	0.013611377	0.014566236	0.010696929	0.012874034	0.00883273	0.009177589
51	0.6953125	0.69921875	0.007246949	0.011658506	0.01203152	0.010037445	0.010170758	0.009241653	0.008540903
52	0.69921875	0.703125	0.007031248	0.009460476	0.009537201	0.009270507	0.008293025	0.009262099	0.008463259
53	0.703125	0.70703125	0.006993407	0.008064102	0.007863722	0.008408421	0.006834523	0.008117115	0.008183738
54	0.70703125	0.7109375	0.006872672	0.006720862	0.006543504	0.008136096	0.005889199	0.008812284	0.006910367
55	0.7109375	0.71484375	0.00666436	0.005846498	0.005663358	0.007571762	0.00524215	0.007646855	0.007127772
56	0.71484375	0.71875	0.006680037	0.005392537	0.005034192	0.007216592	0.004893378	0.008301131	0.007407292
57	0.71875	0.72265625	0.006534435	0.004863071	0.004483241	0.007043519	0.004781818	0.008382916	0.006630847
58	0.72265625	0.7265625	0.006494431	0.004583423	0.0043079	0.006959853	0.004551652	0.007074363	0.0064445
59	0.7265625	0.73046875	0.006468842	0.004575966	0.00414717	0.007105038	0.004376679	0.008035331	0.007065656
60	0.73046875	0.734375	0.006472447	0.004389534	0.004036292	0.006849939	0.004490587	0.007442393	0.006770607
61	0.734375	0.73828125	0.006368651	0.00433174	0.003770701	0.0067228	0.004248678	0.006706332	0.006133921
62	0.73828125	0.7421875	0.006266297	0.004094972	0.003735461	0.006585817	0.004150035	0.007074363	0.005792285
63	0.7421875	0.74609375	0.006334773	0.004069804	0.003679593	0.006504612	0.004069008	0.006890347	0.006366855
64	0.74609375	0.75	0.006339819	0.004055821	0.003654667	0.006676865	0.004036127	0.006583655	0.005994161
65	0.75	0.75390625	0.006187369	0.003971927	0.003591922	0.006470161	0.003941007	0.006195179	0.005574881
