bucket	range_start	range_end	ARPE19 #2 poly(A)	ARPE19 #1	ARPE19 #2	CRO-AP5	NHDF	IVT RN7SK	IVT EBER2
1	0.5	0.50390625	0.015269109	0.008667648	0.008425515	0.010785197	0.008766477	0.011475558	0.011215693
2	0.50390625	0.5078125	0.015524383	0.008962796	0.008795039	0.01099325	0.009038596	0.011927351	0.010665905
3	0.5078125	0.51171875	0.015287303	0.009211244	0.008844676	0.010703926	0.009313381	0.012258667	0.011149718
4	0.51171875	0.515625	0.01514791	0.008714349	0.008708634	0.010722347	0.0089719	0.012439384	0.012227304
5	0.515625	0.51953125	0.014986685	0.008682592	0.008730695	0.010593398	0.009027924	0.012951417	0.011347642
6	0.51953125	0.5234375	0.014714617	0.008775993	0.008589136	0.010768943	0.008966564	0.011746634	0.012337263
7	0.5234375	0.52734375	0.014686626	0.00867512	0.008578105	0.010570642	0.008979904	0.012559863	0.011039761
8	0.52734375	0.53125	0.014453745	0.008587323	0.008568913	0.010537049	0.008899869	0.011897232	0.010995777
9	0.53125	0.53515625	0.014186436	0.008596663	0.008778493	0.010442775	0.009220008	0.012318906	0.012051372
10	0.53515625	0.5390625	0.014137453	0.008671384	0.008550528	0.010331163	0.009129302	0.011174362	0.010621921
11	0.5390625	0.54296875	0.013869863	0.00858919	0.00861855	0.010295403	0.008755806	0.010662329	0.010511964
12	0.54296875	0.546875	0.013627465	0.008895547	0.00875827	0.010284567	0.008670435	0.011204482	0.010555946
13	0.546875	0.55078125	0.013438529	0.008733029	0.008704957	0.010436273	0.008961229	0.010873167	0.010841837
14	0.55078125	0.5546875	0.013387026	0.008733029	0.008668188	0.010046173	0.008942554	0.011836993	0.01158955
15	0.5546875	0.55859375	0.013245675	0.008800278	0.008708634	0.010156701	0.008747802	0.010812927	0.010116115
16	0.55859375	0.5625	0.012986482	0.008716216	0.008872253	0.009921557	0.008950558	0.011234601	0.009962174
17	0.5625	0.56640625	0.012894394	0.008615343	0.00860752	0.010050507	0.008392981	0.010752688	0.009676284
18	0.56640625	0.5703125	0.01269734	0.00868446	0.00871231	0.009821865	0.008761141	0.011053884	0.010292048
19	0.5703125	0.57421875	0.012513163	0.008727425	0.008798716	0.009794774	0.008843844	0.011957471	0.010270056
20	0.57421875	0.578125	0.012362014	0.008886207	0.008791362	0.00990747	0.008675771	0.01063221	0.010226073
21	0.578125	0.58203125	0.012251452	0.008740502	0.008679219	0.009756848	0.009059938	0.010843047	0.010358023
22	0.58203125	0.5859375	0.011887294	0.008762918	0.009023004	0.009857624	0.008865187	0.011716515	0.010138107
23	0.5859375	0.58984375	0.011909407	0.008755446	0.00902852	0.009786106	0.008950558	0.011686395	0.009830225
24	0.58984375	0.59375	0.011655813	0.008893679	0.008988074	0.009811029	0.008571726	0.0113852	0.010138107
25	0.59375	0.59765625	0.011514461	0.008783465	0.008828131	0.009812112	0.009001246	0.00990934	0.009852217
26	0.59765625	0.6015625	0.011358554	0.008846979	0.008855707	0.009762267	0.009017253	0.009999699	0.01005014
27	0.6015625	0.60546875	0.011255829	0.008899284	0.009017489	0.00981753	0.008979904	0.010571971	0.009324419
28	0.60546875	0.609375	0.011080608	0.008678856	0.008756432	0.009230212	0.008729127	0.009728623	0.009632302
29	0.609375	0.61328125	0.010914624	0.008977741	0.008638773	0.009521704	0.009054602	0.010571971	0.009610309
30	0.61328125	0.6171875	0.010790906	0.008856319	0.008699441	0.009531457	0.00887319	0.009758743	0.009170478
31	0.6171875	0.62109375	0.010673906	0.008889943	0.009092865	0.009346159	0.008854516	0.009306949	0.008752639
32	0.62109375	0.625	0.010503443	0.008966533	0.009212363	0.009212875	0.008894533	0.009457546	0.009632302
33	0.625	0.62890625	0.010185751	0.008865659	0.008989912	0.009261637	0.008809162	0.009517785	0.010072133
34	0.62890625	0.6328125	0.010232495	0.00903565	0.009155371	0.009092594	0.009014585	0.010812927	0.008730647
35	0.6328125	0.63671875	0.010037681	0.009095427	0.008967851	0.009069838	0.00844367	0.008373242	0.009104504
36	0.63671875	0.640625	0.00995147	0.008888075	0.008866738	0.009195536	0.008569058	0.009487666	0.009346411
37	0.640625	0.64453125	0.009821874	0.008861923	0.009057934	0.009170614	0.008947889	0.009397307	0.009412386
38	0.64453125	0.6484375	0.009698995	0.008824563	0.008929244	0.00912727	0.008659764	0.010029818	0.008642681
39	0.6484375	0.65234375	0.009481509	0.008841375	0.009162725	0.008931136	0.008040829	0.008855155	0.008796622
40	0.65234375	0.65625	0.009413492	0.008955324	0.008966013	0.008964728	0.008801159	0.010361134	0.009346411
41	0.65625	0.66015625	0.009206642	0.008974005	0.008897991	0.008840112	0.008622414	0.008794916	0.00862069
42	0.66015625	0.6640625	0.009080405	0.008658308	0.008763786	0.008785931	0.00829694	0.009849101	0.009104504
43	0.6640625	0.66796875	0.009024984	0.00865644	0.008745402	0.008699242	0.008390314	0.00921659	0.009148487
44	0.66796875	0.671875	0.008879713	0.008314591	0.008624066	0.008719831	0.008315614	0.009126231	0.008400775
