bucket	range_start	range_end	ARPE19 #2 poly(A)	ARPE19 #1	ARPE19 #2	CRO-AP5	NHDF	IVT RN7SK	IVT EBER2
1	0.5	0.50390625	0.001460721	0.009944484	0.010273135	0.002407202	0.008192517	0.00195166	0.001445118
2	0.50390625	0.5078125	0.001502265	0.009414369	0.009536502	0.002335683	0.007727087	0.001961275	0.001305691
3	0.5078125	0.51171875	0.001525823	0.009255982	0.009149846	0.002313816	0.00740097	0.002002935	0.001394268
4	0.51171875	0.515625	0.00156518	0.008714555	0.00863787	0.002294264	0.006932373	0.001942046	0.001323734
5	0.515625	0.51953125	0.001603153	0.008124641	0.008183969	0.002231235	0.006343462	0.001868338	0.001240078
6	0.51953125	0.5234375	0.001645185	0.00796787	0.007965424	0.002244612	0.006068003	0.001948456	0.001294209
7	0.5234375	0.52734375	0.001688713	0.007607457	0.00752375	0.002200363	0.005727638	0.00195807	0.001299129
8	0.52734375	0.53125	0.001731926	0.007447453	0.007233375	0.002148396	0.005520253	0.001961275	0.001369663
9	0.53125	0.53515625	0.001760818	0.006986836	0.006852832	0.002081508	0.005021578	0.001772197	0.001392628
10	0.53515625	0.5390625	0.001796666	0.006501976	0.006655683	0.002152769	0.004923426	0.001871543	0.00130241
11	0.5390625	0.54296875	0.001817328	0.006353285	0.006424912	0.002087939	0.004644801	0.001970889	0.001287647
12	0.54296875	0.546875	0.001836732	0.006167422	0.006131481	0.002090512	0.004426334	0.001874748	0.001297489
13	0.546875	0.55078125	0.001858212	0.006020348	0.005906824	0.002069674	0.00423003	0.001685671	0.001200711
14	0.55078125	0.5546875	0.00186907	0.005798928	0.005647015	0.002066072	0.004218949	0.002051006	0.001267964
15	0.5546875	0.55859375	0.00186852	0.005512861	0.005561431	0.002012304	0.00403056	0.00184911	0.001215473
16	0.55859375	0.5625	0.001865136	0.00534316	0.005371924	0.00202774	0.004002065	0.001996526	0.001241718
17	0.5625	0.56640625	0.001855222	0.005299523	0.005050984	0.00203623	0.003732938	0.001986912	0.001231877
