bucket	range_start	range_end	HSV1 6hpi #1	HSV1 6hpi #2	HSV1 12hpi #1	ARPE19 + IFNag
1	0.5	0.50390625	0.002612095	0.002690667	0.003074382	0.010252568
2	0.50390625	0.5078125	0.002557676	0.00266858	0.00313014	0.009678233
3	0.5078125	0.51171875	0.002547644	0.002651616	0.003142827	0.009207239
4	0.51171875	0.515625	0.002488665	0.002680104	0.003137485	0.008670663
5	0.515625	0.51953125	0.002539435	0.002635291	0.00310176	0.008130114
6	0.51953125	0.5234375	0.002467688	0.002636571	0.003117118	0.007617386
7	0.5234375	0.52734375	0.00251633	0.002621847	0.003031979	0.007412692
8	0.52734375	0.53125	0.002543995	0.002600722	0.003074048	0.00672508
9	0.53125	0.53515625	0.002458263	0.002634331	0.003074048	0.006381275
10	0.53515625	0.5390625	0.002410229	0.002569353	0.003054682	0.006426983
11	0.5390625	0.54296875	0.002446711	0.002620247	0.003072044	0.005870534
12	0.54296875	0.546875	0.002424214	0.002627609	0.003024967	0.005669816
13	0.546875	0.55078125	0.0023929	0.002513657	0.002988908	0.005508842
14	0.55078125	0.5546875	0.002466168	0.002627929	0.003046002	0.005355819
15	0.5546875	0.55859375	0.002411749	0.002599441	0.002976888	0.004996115
16	0.55859375	0.5625	0.002436982	0.002585998	0.002963199	0.004954381
17	0.5625	0.56640625	0.002482889	0.002525821	0.003023631	0.004705967
18	0.56640625	0.5703125	0.00239746	0.00256039	0.00295552	0.004636411
19	0.5703125	0.57421875	0.002449751	0.002539265	0.002940829	0.004521146
20	0.57421875	0.578125	0.002428774	0.002545026	0.002972548	0.004368123
21	0.578125	0.58203125	0.002485929	0.002546307	0.002994918	0.004187277
22	0.58203125	0.5859375	0.002450055	0.002494452	0.002961529	0.004242922
23	0.5859375	0.58984375	0.00239746	0.002527741	0.003022296	0.004219074
24	0.58984375	0.59375	0.002457351	0.002548227	0.002973549	0.004034253
25	0.59375	0.59765625	0.002438198	0.002551108	0.002968875	0.004024317
26	0.59765625	0.6015625	0.002442455	0.002591439	0.003052011	0.003773915
27	0.6015625	0.60546875	0.002458567	0.002540545	0.002963199	0.003893154
28	0.60546875	0.609375	0.002488361	0.002550148	0.002965536	0.003803725
29	0.609375	0.61328125	0.00243759	0.002566152	0.00301662	0.003638777
30	0.61328125	0.6171875	0.002463128	0.002618647	0.00303298	0.003430109
31	0.6171875	0.62109375	0.002455223	0.002614485	0.003023965	0.003579158
32	0.62109375	0.625	0.00252089	0.002627929	0.00303899	0.003569221
33	0.625	0.62890625	0.002461911	0.00259624	0.003032313	0.003676536
34	0.62890625	0.6328125	0.002509338	0.002602642	0.003071043	0.003398312
35	0.6328125	0.63671875	0.00254278	0.002608404	0.003107436	0.003501653
36	0.63671875	0.640625	0.002552812	0.002544066	0.003017288	0.003410236
37	0.640625	0.64453125	0.00251633	0.002633051	0.003095082	0.003535437
38	0.64453125	0.6484375	0.002573789	0.0026673	0.003073046	0.003382413
39	0.6484375	0.65234375	0.002589598	0.002643294	0.00308373	0.003447995
