bucket	range_start	range_end	HSV1 6hpi #1	HSV1 6hpi #2	HSV1 12hpi #1	ARPE19 + IFNag
1	0.5	0.50390625	0.001746252	0.001888897	0.002027418	0.004084003
2	0.50390625	0.5078125	0.001764278	0.001841599	0.002088373	0.004104577
3	0.5078125	0.51171875	0.001780853	0.001846806	0.00205926	0.004146869
4	0.51171875	0.515625	0.001713929	0.001845287	0.002096333	0.004176587
5	0.515625	0.51953125	0.001802609	0.001890199	0.002035151	0.003965129
6	0.51953125	0.5234375	0.001817941	0.001904519	0.002066311	0.00409429
7	0.5234375	0.52734375	0.001796393	0.001921442	0.00208951	0.004196018
8	0.52734375	0.53125	0.001786448	0.001880001	0.002159335	0.003866829
9	0.53125	0.53515625	0.001842598	0.001941186	0.002095196	0.004168586
10	0.53515625	0.5390625	0.001870155	0.001916669	0.002143869	0.004062285
11	0.5390625	0.54296875	0.001855237	0.001929469	0.002139092	0.003939983
12	0.54296875	0.546875	0.001860831	0.001953119	0.002139092	0.004095433
13	0.546875	0.55078125	0.001875749	0.00196592	0.002167295	0.004003991
14	0.55078125	0.5546875	0.001892739	0.001931205	0.002163656	0.004070287
15	0.5546875	0.55859375	0.001910973	0.001931205	0.002209144	0.00394684
16	0.55859375	0.5625	0.001904757	0.001965486	0.002212556	0.00404514
17	0.5625	0.56640625	0.001923197	0.001980456	0.002204141	0.003864543
18	0.56640625	0.5703125	0.001892118	0.001995427	0.002207552	0.00388969
19	0.5703125	0.57421875	0.001921954	0.0020488	0.002192541	0.003986846
20	0.57421875	0.578125	0.001935422	0.002021246	0.002210737	0.00393541
21	0.578125	0.58203125	0.001898955	0.002078091	0.002272373	0.00402228
22	0.58203125	0.5859375	0.001937079	0.002010397	0.002244625	0.004008564
23	0.5859375	0.58984375	0.001971474	0.002072016	0.00227533	0.004059999
24	0.58984375	0.59375	0.001952619	0.00206811	0.002256452	0.004002848
25	0.59375	0.59765625	0.001995302	0.002092193	0.002322183	0.003943412
26	0.59765625	0.6015625	0.002008769	0.002065724	0.002311721	0.004002848
27	0.6015625	0.60546875	0.001979555	0.002084816	0.002290341	0.003891976
28	0.60546875	0.609375	0.00202721	0.002113022	0.002353797	0.004043997
29	0.609375	0.61328125	0.002030318	0.002076138	0.002301486	0.00404514
30	0.61328125	0.6171875	0.002047101	0.002117795	0.002365624	0.004000562
31	0.6171875	0.62109375	0.002046272	0.002146218	0.002364715	0.003842826
32	0.62109375	0.625	0.002082324	0.002195685	0.002428853	0.003755957
33	0.625	0.62890625	0.002063469	0.00216032	0.002416571	0.003887404
34	0.62890625	0.6328125	0.002101179	0.002196987	0.002412705	0.00390112
35	0.6328125	0.63671875	0.002116512	0.002203062	0.002399513	0.003872544
36	0.63671875	0.640625	0.002129979	0.002195685	0.002387914	0.003824538
37	0.640625	0.64453125	0.002116512	0.0022061	0.002481847	0.003809678
38	0.64453125	0.6484375	0.002161888	0.002227363	0.002479573	0.003749098
39	0.6484375	0.65234375	0.002151321	0.002232353	0.002513234	0.003770816
40	0.65234375	0.65625	0.002175563	0.002226495	0.002558495	0.003734239
41	0.65625	0.66015625	0.002196282	0.002320657	0.002515054	0.003607364
42	0.66015625	0.6640625	0.002261135	0.002320007	0.002527336	0.003755957
43	0.6640625	0.66796875	0.002253054	0.002288329	0.002550535	0.003831396
44	0.66796875	0.671875	0.002229226	0.00235689	0.00259011	0.00377996
45	0.671875	0.67578125	0.002309826	0.002374899	0.002645151	0.003663372
46	0.67578125	0.6796875	0.002270873	0.002324129	0.002563499	0.003777674
47	0.6796875	0.68359375	0.002317492	0.002362749	0.002665166	0.003744526
48	0.68359375	0.6875	0.002373642	0.002360362	0.00266744	0.003761672
49	0.6875	0.69140625	0.002351265	0.002435649	0.002719979	0.003855399
50	0.69140625	0.6953125	0.002366805	0.00241699	0.002711791	0.003819966
51	0.6953125	0.69921875	0.002358517	0.002461034	0.00274568	0.003699949
52	0.69921875	0.703125	0.002456521	0.002491843	0.002756142	0.003789104
53	0.703125	0.70703125	0.002434351	0.002535019	0.002767969	0.003775388
54	0.70703125	0.7109375	0.002428757	0.002527642	0.002829834	0.003941125
55	0.7109375	0.71484375	0.002463565	0.002539141	0.002824375	0.003872544
56	0.71484375	0.71875	0.002492573	0.002598156	0.002795717	0.003841683
57	0.71875	0.72265625	0.002537949	0.002592948	0.002950378	0.003847398
58	0.72265625	0.7265625	0.002510806	0.002630483	0.002949923	0.003773102
59	0.7265625	0.73046875	0.002617513	0.002651963	0.002947649	0.004046283
60	0.73046875	0.734375	0.002562813	0.002651312	0.002918536	0.003814251
61	0.734375	0.73828125	0.002656051	0.00270577	0.003031802	0.003937697
62	0.73828125	0.7421875	0.002603216	0.002716184	0.003046813	0.003871401
63	0.7421875	0.74609375	0.002659159	0.002764785	0.003104356	0.00405657
64	0.74609375	0.75	0.002700598	0.002716401	0.00308889	0.004019994
65	0.75	0.75390625	0.002787828	0.002893879	0.003193741	0.004041711
66	0.75390625	0.7578125	0.002757992	0.002825101	0.003141429	0.004038282
67	0.7578125	0.76171875	0.002871328	0.002922301	0.003254695	0.004114864
68	0.76171875	0.765625	0.002909452	0.002999107	0.003302913	0.004245168
69	0.765625	0.76953125	0.00281062	0.002935536	0.003214666	0.004047426
70	0.76953125	0.7734375	0.002986115	0.00308177	0.003390023	0.004233738
71	0.7734375	0.77734375	0.002974926	0.003090666	0.003405489	0.004247454
72	0.77734375	0.78125	0.002930586	0.003077431	0.003507838	0.004135438
73	0.78125	0.78515625	0.003031905	0.003147945	0.00344279	0.004209735
74	0.78515625	0.7890625	0.003082668	0.003191555	0.003529445	0.004378901
