bucket	range_start	range_end	HSV1 6hpi #1	HSV1 6hpi #2	HSV1 12hpi #1	ARPE19 + IFNag
1	0.5	0.50390625	0.008846342	0.008943625	0.008806216	0.00533435
2	0.50390625	0.5078125	0.009241482	0.00918038	0.00925329	0.005996812
3	0.5078125	0.51171875	0.009493235	0.009431999	0.00928495	0.006496207
4	0.51171875	0.515625	0.009528261	0.009435184	0.009399117	0.007009869
5	0.515625	0.51953125	0.00966946	0.009723962	0.009354025	0.007751828
6	0.51953125	0.5234375	0.009793147	0.009997876	0.009469152	0.008567166
7	0.5234375	0.52734375	0.010108384	0.010242064	0.00975313	0.009905339
8	0.52734375	0.53125	0.010294463	0.010476696	0.009689811	0.010908205
9	0.53125	0.53515625	0.010573578	0.011005415	0.010074525	0.012206631
10	0.53515625	0.5390625	0.010899761	0.011145557	0.010361382	0.01339091
11	0.5390625	0.54296875	0.011088028	0.011593588	0.010457321	0.014553786
12	0.54296875	0.546875	0.011483169	0.011855823	0.010936055	0.015272303
13	0.546875	0.55078125	0.011929755	0.012090456	0.011072288	0.016249688
14	0.55078125	0.5546875	0.012125683	0.01260431	0.011470433	0.016385239
15	0.5546875	0.55859375	0.012178223	0.012655271	0.011376414	0.015772717
16	0.55859375	0.5625	0.012423407	0.012721095	0.012126654	0.015380335
17	0.5625	0.56640625	0.012808697	0.012944049	0.012235065	0.014762716
18	0.56640625	0.5703125	0.012976167	0.013142584	0.012612104	0.014800426
19	0.5703125	0.57421875	0.014234926	0.014977174	0.013693334	0.030006481
20	0.57421875	0.578125	0.013297971	0.013401635	0.013360427	0.013718064
21	0.578125	0.58203125	0.013618682	0.013931415	0.013615623	0.012957761
22	0.58203125	0.5859375	0.013503751	0.013604417	0.013679902	0.01244308
23	0.5859375	0.58984375	0.01387919	0.013841172	0.014109707	0.012425753
24	0.58984375	0.59375	0.013758787	0.013945217	0.013817095	0.011822403
25	0.59375	0.59765625	0.013718287	0.013674487	0.014257453	0.012009931
26	0.59765625	0.6015625	0.013351605	0.013744559	0.013895765	0.012106752
27	0.6015625	0.60546875	0.013378969	0.013775348	0.014007053	0.012181152
28	0.60546875	0.609375	0.01316115	0.013529037	0.013721156	0.012277973
29	0.609375	0.61328125	0.01342932	0.013593799	0.013536953	0.012219881
30	0.61328125	0.6171875	0.012907209	0.013251938	0.013239544	0.012835461
31	0.6171875	0.62109375	0.012659835	0.013182928	0.013042869	0.013237014
32	0.62109375	0.625	0.01253177	0.012860176	0.012846195	0.013791445
33	0.625	0.62890625	0.011986673	0.012227412	0.012555501	0.014250073
34	0.62890625	0.6328125	0.011943984	0.012330396	0.012346354	0.015174462
35	0.6328125	0.63671875	0.011877216	0.011846269	0.012021122	0.015828772
36	0.63671875	0.640625	0.011202958	0.01156386	0.011636408	0.016310839
37	0.640625	0.64453125	0.011082555	0.01145663	0.011243058	0.0167766
38	0.64453125	0.6484375	0.010795777	0.01102771	0.011096273	0.017302494
39	0.6484375	0.65234375	0.010666617	0.010895	0.010579163	0.018604998
40	0.65234375	0.65625	0.010491486	0.010759104	0.01033356	0.021641113
41	0.65625	0.66015625	0.010426906	0.01075061	0.010203083	0.026526008
42	0.66015625	0.6640625	0.010392974	0.010727254	0.009969952	0.03302425
43	0.6640625	0.66796875	0.010099628	0.011009662	0.009868257	0.039781366
44	0.66796875	0.671875	0.010170776	0.010603037	0.009752171	0.04034599
45	0.671875	0.67578125	0.009984698	0.010470326	0.009425979	0.036543455
46	0.67578125	0.6796875	0.009638812	0.009953286	0.009063331	0.030912526
47	0.6796875	0.68359375	0.009348751	0.009764306	0.009030712	0.025989922
48	0.68359375	0.6875	0.009127647	0.009437308	0.008702601	0.021574866
49	0.6875	0.69140625	0.008885746	0.009117741	0.00867382	0.017988397
50	0.69140625	0.6953125	0.008685439	0.008807729	0.008461796	0.014760678
51	0.6953125	0.69921875	0.008299055	0.00866971	0.008234421	0.011777559
52	0.69921875	0.703125	0.007998047	0.008204693	0.007934133	0.009170515
53	0.703125	0.70703125	0.007942224	0.00782461	0.008059812	0.007387983
54	0.70703125	0.7109375	0.008025412	0.007840535	0.007928376	0.006033502
55	0.7109375	0.71484375	0.007714553	0.007588916	0.007786387	0.005244663
56	0.71484375	0.71875	0.007646689	0.00743391	0.007767199	0.004550606
57	0.71875	0.72265625	0.00741245	0.007363839	0.007541743	0.004195934
58	0.72265625	0.7265625	0.007381802	0.007329865	0.007442926	0.003904451
59	0.7265625	0.73046875	0.007366478	0.007292706	0.007604103	0.003675137
60	0.73046875	0.734375	0.007324885	0.007205648	0.007401672	0.003578315
61	0.734375	0.73828125	0.007150848	0.007103727	0.007348906	0.003567105
62	0.73828125	0.7421875	0.007254832	0.007061259	0.007387281	0.003330656
63	0.7421875	0.74609375	0.007304088	0.007047457	0.007173338	0.003329637
64	0.74609375	0.75	0.007339114	0.00709311	0.007376728	0.003328618
65	0.75	0.75390625	0.007197914	0.007026224	0.007307652	0.003226701
66	0.75390625	0.7578125	0.006993229	0.006988003	0.007189648	0.003158416
67	0.7578125	0.76171875	0.007010742	0.006993312	0.007140719	0.003105419
68	0.76171875	0.765625	0.006855313	0.006745939	0.007099466	0.00300554
69	0.765625	0.76953125	0.006879394	0.006866971	0.00704574	0.003051403
70	0.76953125	0.7734375	0.006877204	0.006509183	0.006921019	0.002913815
71	0.7734375	0.77734375	0.006899096	0.006725767	0.006864416	0.002848588
72	0.77734375	0.78125	0.006912231	0.006431681	0.006988177	0.002757881
73	0.78125	0.78515625	0.006706451	0.006486888	0.006819325	0.002719153
74	0.78515625	0.7890625	0.006530224	0.006336129	0.006645675	0.002547932
75	0.7890625	0.79296875	0.006777598	0.006493258	0.006824121	0.002666156
76	0.79296875	0.796875	0.006303648	0.006113175	0.006559331	0.002496973
77	0.796875	0.80078125	0.006380268	0.006358425	0.006479702	0.002560162
78	0.80078125	0.8046875	0.006250014	0.006067523	0.006301255	0.002370596
79	0.8046875	0.80859375	0.006245635	0.006050536	0.006204357	0.002352251
80	0.80859375	0.8125	0.006195285	0.006164136	0.006188048	0.002305369
81	0.8125	0.81640625	0.006005924	0.005883852	0.006235058	0.00214332
82	0.81640625	0.8203125	0.00610553	0.005815904	0.006218748	0.002211605
83	0.8203125	0.82421875	0.005782631	0.005670453	0.006011521	0.00206994
84	0.82421875	0.828125	0.005804522	0.005488906	0.005903109	0.001929294
85	0.828125	0.83203125	0.005780442	0.005564285	0.005872409	0.001952735
86	0.83203125	0.8359375	0.005614067	0.005461302	0.005905028	0.001906872
87	0.8359375	0.83984375	0.005481623	0.005311604	0.005497289	0.001758073
88	0.83984375	0.84375	0.005550582	0.005294617	0.005507842	0.001767246
89	0.84375	0.84765625	0.005573568	0.005218176	0.005498248	0.001714248
90	0.84765625	0.8515625	0.005212358	0.005064232	0.005317884	0.001641887
91	0.8515625	0.85546875	0.005405003	0.004927275	0.005288142	0.001627619
92	0.85546875	0.859375	0.005013146	0.004844463	0.005206594	0.001510414
93	0.859375	0.86328125	0.005132454	0.004730863	0.005116412	0.001487992
94	0.86328125	0.8671875	0.004986876	0.004856142	0.005125047	0.0014778
95	0.8671875	0.87109375	0.0049015	0.004631065	0.004754723	0.001350404
96	0.87109375	0.875	0.004823785	0.004585412	0.004767195	0.001314733
97	0.875	0.87890625	0.004622383	0.004513218	0.004751845	0.001311675
98	0.87890625	0.8828125	0.004683679	0.004288141	0.004652069	0.001245429
99	0.8828125	0.88671875	0.004476805	0.004341225	0.004418938	0.001191413
100	0.88671875	0.890625	0.004388144	0.004093853	0.004221304	0.001085419
101	0.890625	0.89453125	0.004326848	0.004041831	0.004356578	0.001088476
102	0.89453125	0.8984375	0.004217391	0.004060941	0.004275989	0.00107217
103	0.8984375	0.90234375	0.004287444	0.003914428	0.004203076	0.000934581
104	0.90234375	0.90625	0.004148433	0.003719078	0.004135918	0.000951907
105	0.90625	0.91015625	0.004174703	0.003668118	0.004032305	0.000868335
106	0.91015625	0.9140625	0.004006139	0.003596985	0.003922934	0.000836741
107	0.9140625	0.91796875	0.003930613	0.003751991	0.003906625	0.000795974
108	0.91796875	0.921875	0.003758765	0.003709523	0.003818361	0.000783744
109	0.921875	0.92578125	0.003839763	0.003670241	0.003908543	0.000758264
110	0.92578125	0.9296875	0.003847425	0.00361928	0.003838508	0.00077661
111	0.9296875	0.93359375	0.003633983	0.003534345	0.003859615	0.000732785
112	0.93359375	0.9375	0.003804737	0.003530099	0.003803011	0.000695076
113	0.9375	0.94140625	0.0037719	0.003415437	0.003700357	0.000720555
114	0.94140625	0.9453125	0.003847425	0.003650069	0.003744488	0.000724632
115	0.9453125	0.94921875	0.003689807	0.003446226	0.003827955	0.00071444
