bucket	range_start	range_end	HSV1 6hpi #1	HSV1 6hpi #2	HSV1 12hpi #1	ARPE19 + IFNag
1	0.5	0.50390625	0.008289171	0.007884914	0.007885969	0.008377831
2	0.50390625	0.5078125	0.008522684	0.007969615	0.008013453	0.008876915
3	0.5078125	0.51171875	0.008492093	0.008076455	0.007982713	0.00866856
4	0.51171875	0.515625	0.008476798	0.008034104	0.00790586	0.008482009
5	0.515625	0.51953125	0.008452324	0.007964803	0.007852515	0.008729128
6	0.51953125	0.5234375	0.008182103	0.008063941	0.007840762	0.008549846
7	0.5234375	0.52734375	0.008334039	0.007792513	0.007820871	0.008489277
8	0.52734375	0.53125	0.008241246	0.007880102	0.007867886	0.00873882
9	0.53125	0.53515625	0.008177004	0.007884914	0.007849803	0.008830884
10	0.53515625	0.5390625	0.00801691	0.007778075	0.007845283	0.008763046
11	0.5390625	0.54296875	0.008160689	0.007785775	0.007795554	0.008583764
12	0.54296875	0.546875	0.008044443	0.007734762	0.007691578	0.008763046
13	0.546875	0.55078125	0.007994478	0.007714549	0.007712373	0.008799387
14	0.55078125	0.5546875	0.008040364	0.00757691	0.007574942	0.008433554
15	0.5546875	0.55859375	0.007904744	0.00757306	0.007555956	0.008566804
16	0.55859375	0.5625	0.00801691	0.007441195	0.00766807	0.008680673
17	0.5625	0.56640625	0.008047502	0.007539372	0.007536064	0.008421441
18	0.56640625	0.5703125	0.007842542	0.007428682	0.007521598	0.008872069
19	0.5703125	0.57421875	0.007766064	0.007403657	0.007467349	0.008830884
20	0.57421875	0.578125	0.007930236	0.007425795	0.00748724	0.008908411
21	0.578125	0.58203125	0.007858857	0.007481621	0.007395921	0.008867225
22	0.58203125	0.5859375	0.00760597	0.00725543	0.007616533	0.009070735
23	0.5859375	0.58984375	0.007726295	0.007497984	0.00733896	0.00927909
24	0.58984375	0.59375	0.007653896	0.007285268	0.007541489	0.00902228
25	0.59375	0.59765625	0.007638601	0.007219817	0.007469157	0.009107076
26	0.59765625	0.6015625	0.007394892	0.007276605	0.007276574	0.009179758
27	0.6015625	0.60546875	0.007368379	0.007085065	0.007351618	0.008869647
28	0.60546875	0.609375	0.007389793	0.007222705	0.007239504	0.009019856
29	0.609375	0.61328125	0.007445877	0.007061002	0.007178926	0.009223367
30	0.61328125	0.6171875	0.00729496	0.007190941	0.007299178	0.009087694
31	0.6171875	0.62109375	0.007407128	0.007134153	0.007073141	0.009000475
32	0.62109375	0.625	0.007518276	0.00710239	0.007253971	0.009349349
33	0.625	0.62890625	0.007251113	0.007093728	0.007047825	0.009339659
34	0.62890625	0.6328125	0.007287823	0.007019614	0.007167172	0.009228213
35	0.6328125	0.63671875	0.007069606	0.007011914	0.006842583	0.009356618
36	0.63671875	0.640625	0.007148123	0.00689545	0.007029742	0.009189448
37	0.640625	0.64453125	0.007393872	0.006821336	0.006950177	0.009061043
38	0.64453125	0.6484375	0.00715832	0.006868499	0.0068462	0.009283936
39	0.6484375	0.65234375	0.006873823	0.006782836	0.006805514	0.008961711
40	0.65234375	0.65625	0.006972734	0.006783798	0.006823597	0.009160375
41	0.65625	0.66015625	0.007049212	0.006815561	0.006777485	0.008864801
42	0.66015625	0.6640625	0.006898296	0.006641346	0.006934807	0.008687941
43	0.6640625	0.66796875	0.006859547	0.006611508	0.006910394	0.008893875
44	0.66796875	0.671875	0.006804483	0.006623059	0.006690687	0.008889029
45	0.671875	0.67578125	0.006891158	0.006663484	0.00666085	0.008804233
46	0.67578125	0.6796875	0.006708631	0.006470981	0.006518899	0.008719437
47	0.6796875	0.68359375	0.006846291	0.00651237	0.006792855	0.008646755
48	0.68359375	0.6875	0.0068157	0.00657397	0.006516187	0.008692787
49	0.6875	0.69140625	0.006783069	0.006525844	0.006687975	0.008382676
50	0.69140625	0.6953125	0.006864646	0.006440181	0.006574956	0.0084917
51	0.6953125	0.69921875	0.006708631	0.006365105	0.006526132	0.008222776
52	0.69921875	0.703125	0.006680079	0.006218803	0.006588518	0.008239735
53	0.703125	0.70703125	0.006684158	0.006475794	0.006462842	0.008353604
54	0.70703125	0.7109375	0.00657505	0.006273666	0.006481829	0.008353604
55	0.7109375	0.71484375	0.006461863	0.00619474	0.006414018	0.008181589
56	0.71484375	0.71875	0.006397621	0.006277516	0.006404072	0.008171898
57	0.71875	0.72265625	0.006513868	0.006284254	0.006262121	0.007658278
58	0.72265625	0.7265625	0.006335419	0.006187039	0.006408593	0.007980502
59	0.7265625	0.73046875	0.006424134	0.006159127	0.006387798	0.008329377
60	0.73046875	0.734375	0.006322163	0.006181264	0.006419443	0.008329377
61	0.734375	0.73828125	0.006373148	0.0060802	0.006271163	0.00804107
62	0.73828125	0.7421875	0.006200818	0.0060417	0.006319987	0.008060453
63	0.7421875	0.74609375	0.006328282	0.005945449	0.006320891	0.007956275
64	0.74609375	0.75	0.006191641	0.006106189	0.006307329	0.008101638
65	0.75	0.75390625	0.006153912	0.005971436	0.006263929	0.00811133
66	0.75390625	0.7578125	0.006200818	0.006132176	0.006123787	0.008043493
67	0.7578125	0.76171875	0.006311966	0.005973361	0.006073155	0.008389944
68	0.76171875	0.765625	0.006137597	0.005895398	0.006021618	0.007919934
69	0.765625	0.76953125	0.006243646	0.005911761	0.006113841	0.007801219
70	0.76953125	0.7734375	0.006056021	0.006035925	0.006102991	0.007893283
71	0.7734375	0.77734375	0.006249764	0.0060417	0.006086717	0.008118598
72	0.77734375	0.78125	0.00615901	0.006085976	0.006195215	0.007978079
73	0.78125	0.78515625	0.00616003	0.005831872	0.005959232	0.007905397
74	0.78515625	0.7890625	0.005931617	0.005678832	0.005821802	0.00782787
