read_id	sequence_length_template
0631f23a-07e9-491f-890f-77d9a309a245	357
d9e9eeef-c977-472a-85ea-e826fc4365be	320
22fb6fb6-7dc9-49c7-ba2c-bbd57864b274	364
d787952d-c862-470d-80e7-1162329e8729	346
daa307f0-37fc-448d-95be-790859dbae28	347
bfdaa015-a164-4b2a-ac3f-d8181976833d	120
12beff53-e81b-4aa0-b3ee-eda139503bec	350
decb75ea-d4f9-4942-8c88-1cee5012178f	374
e71ac25e-e45b-486c-b3a0-0284fcf0a833	342
23fd2ab8-52c7-4a11-9c57-e34eaa8255b6	403
b40f4ebe-8433-4e6d-926c-c7219dd7be97	360
57a2d697-ac48-4fde-913a-2da31a1e1983	347
98dd4be4-e1fd-44a8-8176-b0e574c35de5	343
5e8b0e44-a9da-43a4-8b17-a90bcd3afbee	107
8a465364-8c02-4912-8a30-664b0c9afb13	252
0c1ca42a-befa-4bc7-8c07-f5be008d4080	353
b8eabd4e-0136-4710-a38b-f3a1b759d1c6	206
c4b52785-f362-419e-bd18-76828f9506ce	365
6d6f8275-acfc-4738-91da-e4fb84fc33b8	330
0ca7f3dd-d365-438a-96b5-a270eb5a284e	344
959e5cf5-0eb9-4354-819a-f290569e41b4	347
5637d71a-3ba6-4dd1-9e79-154262ba6232	337
22787854-8170-43a9-b887-e6d1de0f84b3	362
ef8c14ed-5775-4d85-bbe8-a814cd31fbb1	350
6c566c77-f9bd-47ff-ac05-fb09058d02bc	338
1b8f4639-a7e3-4480-84a9-cba26841b144	355
827f4032-daee-49dc-9a57-bea9b51c9296	328
cb205822-cee4-45b4-9905-c148a91f17ec	345
9b81e51a-be29-4176-bb13-59c403af594d	347
a0410d15-2af0-438a-b174-ab97a9b32e63	356
fa0fa50c-c9f4-4f54-894f-262f69d4b89a	352
52e463d0-1abf-4c16-a0c8-3389cccfbf63	364
9b2b4d9c-e43b-482e-9661-f2f349679256	320
2a0f15c5-4e78-4fbe-9234-74a1e13f6fdf	356
4d266ba3-8d6b-4b10-8a0d-16f696d7b71c	351
bf473703-62b2-473f-bf38-b8d46095796b	339
ecd4cbcc-8073-4829-9077-d18a4b603a07	340
efdc80d5-5001-404f-af1c-7d1bb7eb2e2d	331
8cde67a9-4165-43dd-94d1-f6c388673aec	334
8c3cdcfe-75c2-4dee-9484-76b43d01747d	363
39992151-cb28-45b4-a1b3-2f61d34f2f77	276
ce41f6c8-c056-4e18-9134-6271308333bf	357
15f1ffc7-5fcf-4f84-b3e6-1e8aec3aaf4d	348
82c29fe2-212b-46a7-8f12-693e44700231	335
6dd728a4-bf69-495a-83c5-2b4713f7c63b	344
13315c6e-a6a1-459c-a9f2-2c23a0249b34	343
20eb11d1-2f6c-4d63-9064-f49333e90fd1	344
a964ec42-1088-4fe5-8540-fc6e141ebc74	310
3620ca62-a253-4a6a-9edd-c5fd02971c7c	359
e5b8bffb-55fa-4917-a4fc-3d0819b280ba	359
b8830da1-fab0-4d5d-8719-5796c3486818	347
3c2e88e7-bb55-4f53-903a-ca78ed13c624	370
3360d4b4-2e0c-496e-b73b-56fbef42798d	333
39a029e9-9f1a-4985-8f5a-6dc01ad03549	339
8cc002c7-fb64-4d92-9854-795b6ef67fe7	366
365eaf66-9481-44b8-b8fb-f34f75bb990f	346
6c41866b-b65c-4f5c-8e43-116e7deaab52	357
7ad970c4-72ae-4166-8716-fcf2aa2f4731	358
af0ab870-5821-49f5-ab57-9ab106de3d1b	348
2d826367-550c-49fe-a25d-38910bf889f8	341
17916aff-925a-4a58-a62d-489ae0c886eb	354
093c1879-7aee-4a8d-b638-a89f08bf8bce	341
1f3cc463-ae1f-44a0-b677-99c931dac9d7	236
63c30b91-0a30-4715-aa9c-302a9ea0d3c8	255
71710f6f-246b-421f-a782-e6d14c9f602c	338
5dd072e5-0fef-49bf-878d-1fe9bd2b60e8	368
a067fe09-6cfb-454e-9fbb-5cede07165ef	356
42beb48a-a754-497f-a459-d21ee1ae3341	347
595ef74a-3eb0-4ac6-bc53-e131f862f338	268
3d6af7f7-97a6-4511-b485-65ad709c8bef	306
f7392918-fe96-4404-b66d-52f5d5ef334c	367
4e1f6147-0376-4e9f-a7e2-a789a96aab63	344
c2328a92-1b7a-4ade-835f-0830a21c620e	338
c1ab5268-4dbd-4de7-8c68-6c006b11d4cc	482
a8f408fd-37d1-421c-b76d-3ae7515a92fb	348
d07b6e14-9e06-444e-bf4a-b28dcfc355cf	311
6f134f6e-67b0-4c99-94ba-18cccfdf421c	359
1b572076-339d-4127-9aa0-9e2ff10233c1	322
84cee4ba-1974-4f50-ad4f-e33f5b6722c7	335
0b4755fa-0ac3-4b1d-9173-f4eaa7b2b6c8	361
6852a0db-ef80-417d-b632-7a3078b50719	332
c225bea5-407d-44da-b336-8066daa2c79f	338
0f365ada-11a8-429a-88ab-a0775f24dde6	331
4637bc09-80b7-4de1-a947-cf6e0b430c50	343
80cfb5d5-b73a-4155-8825-95ccb8871cb8	329
8c4ff31d-dab9-42ff-9af4-c926c22b9266	364
3a853eef-6754-4fc9-974a-87a204d9962d	337
5433dc80-bcef-4979-b8f7-5de7ad22da8a	337
a94898b5-bd6e-4f34-9559-e237f334d1b6	235
222d7d51-dc0e-4193-8455-c57a7a92091e	272
adf10010-9061-490d-b77b-b8a9fae4e41a	332
f1015fb6-dc01-4620-b78b-a2f9064c5497	324
a79d00f5-02b8-4a3b-b021-cbeb1e6196aa	344
f015d3d5-40e5-4d99-a6aa-d2979584a38b	340
07b5a0bd-5e4f-4bfc-ba97-b701d39d54b7	335
55605265-ff38-4f00-87cd-51fbe08eb1db	335
1a19178d-edd8-4b4f-8f17-3a00679c96c8	341
77fef181-7038-4af7-9720-bf9104865401	319
5eda2697-f0f5-4cd9-90be-c5de9a2a8035	337
5b61e64f-74b2-4627-884c-d68b268183e8	414
076dd475-e65d-47ff-b841-72eb7ab19877	343
3db39f55-0ac8-4b0d-bd11-0be9cf9b3450	313
a3c61dc7-cd86-4720-af36-fdd1fcdbb7f9	357
0c2a7c6b-5003-4a67-b18a-bc81952fd084	377
bfe4505f-17f2-4ecc-8325-13e575740477	354
635dba26-4688-47a6-b0c9-c27ede7193bf	337
d28b37bf-65c5-48fd-878d-72ea7713b1d1	321
3436d18e-244e-42e5-80dd-dfa629486bb4	356
b06a2d9d-b9f5-4fd0-8ce5-1f7aeb5639fc	343
0522316c-82ac-46f6-82c5-ac8c9645e95d	354
765772fe-753b-4ba2-92b2-9cf556f9b133	355
d3b58759-5a59-4a19-9554-89fbbb60b283	322
27f9fd2f-b01e-4f65-9fd9-7a8328eae060	353
c894b882-1dcd-44be-992e-478dbd6522ed	309
7b6a408f-0cec-4270-910b-cc20a216cdef	329
d187b5b6-2a64-4986-9ee7-2376f7a30758	345
ef14b37c-ae2d-40df-88ea-1147e580b864	325
9a081dda-a604-4f99-bd44-9aaf4bfedbff	357
e12ec773-1105-49d9-b90d-cd90b6fa021f	336
377b2ac4-0d2e-47c0-8453-101b0611a0be	304
903b6cf7-e2da-4145-8949-323306fe1e7e	304
66f439ba-59c1-496e-91ec-60958b362cc7	322
90c65894-a2cd-4fb6-ad99-80847d8b6571	339
adabfcc7-bebb-486b-8273-b8d7a52420b6	343
8f606036-4382-41a7-8271-5b5d5ee3bb86	357
bec1b8f0-984c-4a82-9daf-c685af5f90b3	333
efc17ec2-4183-413b-a98a-ab24f0ba2fc6	342
1c335bd2-c8bc-4780-91a4-139609b4f296	326
984d81ea-ec33-45c8-ba95-f3a89662d85c	340
8ef2ee52-bd57-496e-ac09-f2acada13271	330
33275e45-fada-4e06-8bbc-219e0dab6ac3	348
27811aa4-9d0f-4333-a2ba-4eb4ec5f08c8	345
190600ee-88c2-4b25-a251-0f9d16368c37	333
24d89a6e-a743-4bcc-9777-4e77cffc5db8	366
73210bd1-3568-4d38-bee5-f46f073efaf4	314
39d8177f-a4be-457d-8094-176f581d5e9f	369
b7116c8b-f971-48cc-9dd4-104f661d6ad1	365
35dae5f8-8b8a-42ca-b3f8-a2b255b77725	273
d18d3078-140d-408e-8ed5-f847fb9a050a	307
b47fe50c-90fb-4c06-bc4d-41323aac949b	327
7c0f58b7-6848-4e6d-bb9c-bec73bb71913	345
74997c26-7670-476e-acb2-5332a07ed033	341
1696457c-8700-4b44-a528-371ce231bc54	333
f685841b-8d1b-45ba-8d7f-e11644deb8da	187
98916f92-5570-40d2-b9e3-84e49f3712d3	353
cf10c3e0-9944-45e2-8956-8262d90eadba	349
2858b17e-6e1c-4698-ac22-5f52bb22c0c1	340
241475c8-231f-4483-9f60-c3942b7733af	330
4ea1091f-c007-4678-8024-bc0a661085fd	359
b07528fd-88fd-474b-be88-1bdf0de65369	354
da50255b-f634-4f79-b8e8-71aa28c65250	438
d8e50a1a-fa9d-486b-9c32-ea57724d4862	337
4a4175d8-f8c7-4998-ae42-e4fa09a359ea	361
40a72be3-eada-46c5-a435-ab99c7136829	365
02a4f4d9-5e29-483a-9561-59a6f77c8c9f	595
d66c4e80-640e-4556-9570-35a36aba895e	335
9173c8e9-e5b0-40d2-acdf-a2c338f43759	275
a2d9342d-8c07-454a-af86-816254c3ba9f	332
fcebb815-b80f-479b-809f-c62c49c87c5e	327
81c65b5d-f2ac-42c4-8d5a-ba1eca244888	336
f69d6b6f-d278-447a-b10b-22b354a7d99a	343
615f36a5-aa41-4b56-a83b-c65c956a8e7d	333
c072c4a2-8198-4ffc-9a2b-84832b3b4788	349
2292d1a8-8c93-4004-96c9-b7b676d9cf00	363
60b5d6af-5860-4d12-9335-e17bc992c2b6	358
86a64307-cf29-402a-8714-1395002deb84	351
68e206e3-5c11-46d4-b934-4a858c0a8975	367
26841959-1501-45fc-bceb-ac62ea9a1ec5	359
13f164ee-c505-42ab-8f66-0e770f116596	320
25c5e272-3855-4f82-aab8-03612930d9c2	347
795c5313-87e7-4475-9fde-3840aa512634	351
cf19f97d-8ee6-4b83-9f87-f5e97ec24440	306
2879cb16-677c-4160-96cf-ce8a935478d6	331
74303607-83fe-4fa4-8f97-2fd7cfae97ef	365
d6b66416-6b2d-43db-8d8d-ab6f0595f562	600
aca2f47c-00ad-40a2-b971-3a1235f02b32	350
61479c40-726e-4d8b-9a78-e697fd243151	327
6824e71e-4799-4b12-9106-1e8fdccd608d	359
abc3667f-cd35-402d-a8d5-cf227ea5c5c5	208
76663950-818f-44e9-b25a-dbb89550d7ee	345
7d89789e-c57b-4bbe-ad8e-750d9a2cf0ae	349
125241e1-60e7-402c-983e-3dedf158b7ef	336
cd79554f-10db-4d03-a230-57372a612fd3	337
7ef0805e-2510-4a76-81d3-b01b5d515dc4	372
e1bf7f25-91ea-4473-ab11-e434422ff095	350
2c59e85f-b9f1-4636-9821-944e5d4e1e06	342
9e05dabd-a7c7-49ae-af70-34021b43bab5	293
fe719c0d-c238-4732-9616-fe10fde4a6d0	341
08f975b3-cfed-49d6-a155-1b0583dad12f	354
ba9a8473-e48c-4f81-b9c9-b13bd9109e1d	342
834c0c13-35a1-4aff-987d-cb29860ad132	367
f7611519-e448-4b2f-afc2-0e9e42c18368	349
5765e19f-2fbd-495f-98f8-6c19f6cdccd5	357
924cf82c-61ca-4990-aca7-8c9b43ceccb0	354
4320de5b-3ebd-408b-9c2c-226dfef4847b	309
a5dab2f7-e475-4c4e-8951-f1f1d4bbb2a0	342
3848b55d-2541-4baa-af69-fb62351dddf5	340
6893cf44-3a32-4f77-901a-8494c614a195	348
