name	position	ARPE-19 #1	ARPE-19 #2	ARPE-19 IFNag #3	NHDF #1	CRO-AP5 #1
BC200	81	16.67	0	15.38	7.14	0
RMRP	6	11.13	10.16	9.53	10.76	10.23
RN7SK	242	11.07	9.04	17.21	4.74	0.02
RN7SK	247	13.59	8.23	6.06	7.23	5.88
RN7SK	250	40.95	24.84	32.36	17.74	50.1
RNA5SP85	96	10.71	0	10	0	0
RNA5SP85	35	13.04	0	0	0	0
RNU6-2	31	71.63	72.89	76.67	85.19	47.37
RNU6-2	40	54.73	53.57	63.89	36.51	18.18
RNU6-2	57	14.81	11.39	7.69	9.8	5.56
RNU6-2	74	4.76	2.16	13.64	9.09	0
RNU6-2	86	75.44	71.49	70.73	79.45	47.62
RNU6atac	83	48.55	32.04	27.85	13.63	9.5
RNU6atac	9	0	3.85	0	14.29	0
RNY4	12	43.85	40.3	38.82	43.68	29.89
VTRNA1-1	11	10.47	7.54	20.47	5.2	16.42
VTRNA1-2	11	13.01	5.16	6.23	6.87	27.33
VTRNA1-3	11	16.46	22.79	26.67	25.67	19.51
Y RNA	97	20	15	21.05	9.43	15.91
Y RNA	106	10.57	12.15	1.87	4.55	11.93
Y RNA	121	11.33	10.94	10.81	5.38	9.45
Y RNA	129	6.15	5.17	6.1	10.34	7.25
Y RNA	139	0	8.33	12	0	8.33
Y RNA	141	10	16.67	11.54	0	4.17
